epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7691.5,0.53311,0.33641,0.87528,0.97098,0.98204,0.98979,0.90834,0.43257,0.26006,0.77244,0.000674488,0.000674488,0.000674488
82,7785.03,0.53486,0.34275,0.87581,0.96926,0.98055,0.98796,0.90591,0.42849,0.25731,0.76677,0.000665057,0.000665057,0.000665057
83,7879.08,0.53259,0.34351,0.87934,0.96349,0.98492,0.98959,0.90735,0.42887,0.25412,0.76761,0.000655625,0.000655625,0.000655625
84,7972.32,0.53308,0.33714,0.8748,0.97099,0.97378,0.98876,0.90901,0.43027,0.25556,0.76577,0.000646194,0.000646194,0.000646194
85,8069.06,0.51757,0.33255,0.8728,0.96666,0.98923,0.98883,0.91079,0.42739,0.24771,0.76372,0.000636762,0.000636762,0.000636762
86,8164.06,0.52835,0.3339,0.8718,0.96705,0.98593,0.98987,0.91181,0.42882,0.24682,0.76714,0.000627331,0.000627331,0.000627331
87,8258.74,0.52304,0.33009,0.87084,0.96365,0.9861,0.98956,0.90897,0.42579,0.24841,0.76603,0.0006179,0.0006179,0.0006179
88,8353.83,0.52191,0.33042,0.87014,0.96716,0.99012,0.99026,0.91079,0.43378,0.25621,0.76881,0.000608468,0.000608468,0.000608468
89,8447.2,0.52684,0.33316,0.87381,0.96626,0.98833,0.99021,0.90916,0.43351,0.2413,0.76915,0.000599037,0.000599037,0.000599037
90,8541.2,0.52361,0.33251,0.87298,0.96816,0.9905,0.99006,0.91031,0.43212,0.2369,0.76889,0.000589605,0.000589605,0.000589605
91,8633.97,0.51561,0.32725,0.8696,0.96838,0.98876,0.98807,0.91186,0.42939,0.24942,0.76748,0.000580174,0.000580174,0.000580174
92,8727.29,0.5214,0.33275,0.87127,0.97509,0.9748,0.99033,0.90987,0.43681,0.2525,0.76942,0.000570743,0.000570743,0.000570743
93,8820.64,0.51389,0.32631,0.87141,0.96731,0.98661,0.98983,0.90742,0.43472,0.2464,0.76917,0.000561311,0.000561311,0.000561311
94,8917.01,0.52205,0.32893,0.87153,0.96931,0.98415,0.9888,0.90983,0.43049,0.24024,0.76746,0.00055188,0.00055188,0.00055188
95,9010.32,0.51862,0.32677,0.87422,0.96613,0.9857,0.9893,0.90898,0.43156,0.25591,0.76518,0.000542448,0.000542448,0.000542448
96,9104.89,0.51315,0.3299,0.87031,0.95906,0.98513,0.98749,0.90671,0.43065,0.24804,0.76457,0.000533017,0.000533017,0.000533017
97,9198.49,0.51681,0.325,0.86858,0.96574,0.99065,0.98877,0.90946,0.43236,0.24785,0.76796,0.000523586,0.000523586,0.000523586
98,9291.02,0.50993,0.32202,0.8675,0.96466,0.98792,0.98988,0.90596,0.43131,0.24222,0.76688,0.000514154,0.000514154,0.000514154
99,9384.8,0.51065,0.32159,0.86835,0.96552,0.98701,0.99031,0.90747,0.43554,0.24563,0.7682,0.000504723,0.000504723,0.000504723
100,9478.44,0.50633,0.31957,0.87063,0.97549,0.97377,0.98953,0.90683,0.4375,0.24975,0.76958,0.000495291,0.000495291,0.000495291
101,9572.32,0.51287,0.32067,0.86859,0.97673,0.97348,0.99061,0.90901,0.43517,0.2413,0.76756,0.00048586,0.00048586,0.00048586
102,9667.03,0.50345,0.31541,0.86606,0.97218,0.97971,0.98937,0.90921,0.43234,0.24543,0.76553,0.000476429,0.000476429,0.000476429
103,9766.62,0.50822,0.31904,0.86647,0.96802,0.98784,0.9899,0.9121,0.43458,0.23995,0.76595,0.000466997,0.000466997,0.000466997
104,9862.38,0.51117,0.31806,0.87095,0.96415,0.98549,0.98961,0.90861,0.43311,0.24483,0.76661,0.000457566,0.000457566,0.000457566
105,9956.12,0.50556,0.31577,0.86824,0.96518,0.98558,0.98923,0.90865,0.42434,0.24563,0.76507,0.000448134,0.000448134,0.000448134
106,10049.7,0.49694,0.31416,0.86354,0.97214,0.98194,0.98851,0.90965,0.43122,0.24726,0.76687,0.000438703,0.000438703,0.000438703
107,10142.9,0.50147,0.31513,0.86582,0.96936,0.98487,0.98971,0.91154,0.43315,0.2457,0.76827,0.000429272,0.000429272,0.000429272
108,10236,0.50468,0.31907,0.86757,0.96864,0.98873,0.99002,0.91137,0.42503,0.24861,0.76515,0.00041984,0.00041984,0.00041984
109,10329.6,0.49622,0.31272,0.86343,0.96818,0.99049,0.98959,0.91297,0.42483,0.23886,0.76708,0.000410409,0.000410409,0.000410409
110,10422.5,0.50123,0.31409,0.86431,0.96471,0.98628,0.98918,0.91378,0.42594,0.23948,0.7693,0.000400977,0.000400977,0.000400977
111,10514.8,0.49445,0.31796,0.86294,0.96774,0.9847,0.98861,0.91218,0.42127,0.25265,0.76675,0.000391546,0.000391546,0.000391546
112,10608.5,0.49537,0.30918,0.86396,0.96961,0.98584,0.98659,0.90939,0.42432,0.24913,0.76692,0.000382115,0.000382115,0.000382115
